fecha;ica_expo_total;ica_impo_total;ica_saldo;ica_expo_pp;ica_expo_moa;ica_expo_moi;ica_expo_ce;ica_impo_bk;ica_impo_bi;ica_impo_cyl;ica_impo_piezas;ica_impo_bc;ica_impo_vehic;ica_impo_resto
2017-05-01;5493.0;6064.0;-571.0;1576.0;2021.0;1727.0;170.0;1303.0;1554.0;739.0;1161.0;687.0;594.0;26.0
2017-06-01;5152.0;5898.0;-746.0;1539.0;1882.0;1627.0;104.0;1140.0;1554.0;786.0;1159.0;694.0;539.0;26.0
2017-07-01;5298.0;6043.0;-745.0;1401.0;2095.0;1683.0;118.0;1406.0;1527.0;673.0;1138.0;718.0;549.0;31.0
2017-08-01;5265.0;6317.0;-1052.0;1369.0;2075.0;1626.0;195.0;1474.0;1676.0;529.0;1169.0;865.0;577.0;26.0
2017-09-01;5268.0;5966.0;-698.0;1384.0;1968.0;1721.0;194.0;1411.0;1576.0;437.0;1139.0;876.0;502.0;24.0
2017-10-01;5280.0;6207.0;-927.0;1151.0;1942.0;1889.0;297.0;1403.0;1675.0;457.0;1248.0;894.0;504.0;26.0
2017-11-01;4668.0;6162.0;-1494.0;892.0;1741.0;1712.0;323.0;1367.0;1604.0;419.0;1310.0;861.0;575.0;26.0
2017-12-01;4577.0;5364.0;-787.0;1080.0;1570.0;1618.0;310.0;1190.0;1423.0;439.0;919.0;750.0;619.0;24.0
2018-01-01;4810.0;5743.0;-933.0;1202.0;1671.0;1521.0;417.0;1248.0;1583.0;484.0;1084.0;823.0;499.0;23.0
2018-02-01;4304.0;5196.0;-892.0;1070.0;1573.0;1295.0;367.0;1047.0;1507.0;345.0;1031.0;685.0;564.0;18.0
2018-03-01;5417.0;5979.0;-562.0;1369.0;1973.0;1713.0;361.0;1167.0;1811.0;452.0;1249.0;774.0;505.0;21.0
2018-04-01;5216.0;6106.0;-890.0;1189.0;1991.0;1729.0;308.0;1199.0;1738.0;462.0;1219.0;790.0;677.0;21.0
2018-05-01;5163.0;6448.0;-1285.0;1143.0;2113.0;1628.0;280.0;1231.0;1882.0;762.0;1167.0;739.0;623.0;43.0
2018-06-01;5133.0;5461.0;-328.0;1171.0;1930.0;1800.0;232.0;947.0;1620.0;740.0;1041.0;632.0;458.0;23.0
2018-07-01;5415.0;6182.0;-767.0;1106.0;2023.0;1921.0;365.0;1118.0;1842.0;930.0;1050.0;775.0;444.0;23.0
2018-08-01;5202.0;6314.0;-1112.0;1096.0;2080.0;1814.0;212.0;1109.0;1956.0;845.0;1060.0;830.0;489.0;25.0
2018-09-01;5037.0;4700.0;337.0;943.0;1994.0;1650.0;450.0;814.0;1572.0;539.0;869.0;634.0;250.0;22.0
2018-10-01;5398.0;5073.0;325.0;1108.0;2046.0;1833.0;412.0;888.0;1870.0;375.0;909.0;749.0;261.0;22.0
2018-11-01;5350.0;4363.0;987.0;1152.0;1784.0;1910.0;504.0;732.0;1643.0;327.0;783.0;558.0;275.0;45.0
